title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
Blacklight,4.2,19811,Prime Video,2022.0,PG-13,Mark Williams,"Liam Neeson,Emmy Raver-Lampman,Taylor John Smith",3.99
Running with the Devil,4.1,4837,Prime Video,2019.0,R,Jason Cabell,"Nicolas Cage,Laurence Fishburne",4.830464886251237
The Post,4.6,6840,Prime Video,2017.0,PG-13,Steven Spielberg,"Meryl Streep,Tom Hanks,Sarah Paulson,Bob Odenkirk",4.830464886251237
Watchmen,4.6,13866,Prime Video,2009.0,R,Zack Snyder,"Malin Akerman,Billy Crudup,Matthew Goode,Carla Gugino",3.79
Terrifier 2,4.0,4011,Prime Video,2022.0,R,Damien Leone,"Lauren LaVera,David Howard Thornton,Elliott Fullam",4.830464886251237
The Wedding Singer,4.8,15110,Prime Video,1998.0,PG-13,Frank Coraci,"Adam Sandler,Drew Barrymore,Christine Taylor",3.39
Mission: Impossible - Dead Reckoning Part One,4.4,33,Prime Video,2023.0,PG-13,Christopher McQuarrie,"Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg",19.99
The Lost City,4.3,39565,Prime Video,2022.0,PG-13,"Adam Nee,Aaron Nee","Sandra Bullock,Channing Tatum,Daniel Radcliffe",3.89
Running with the Devil,4.1,4837,Prime Video,2019.0,R,Jason Cabell,"Nicolas Cage,Laurence Fishburne",4.830464886251237
Fantastica: A Boonie Bears Adventure,4.4,117,Prime Video,2019.0,G,Leon Ding,"Mario Lopez,Josh Peck,Joseph S. Lambert,Gene Hobbs",4.830464886251237
Howard's Mill,4.0,21,Prime Video,2021.0,R,"Shannon Houchins,Potsy Ponciroli","Reegus Flenory,Josafina F Boneo,Jeremy Childs",0.99
The Nun II,4.1,115,Prime Video,2023.0,R,Michael Chaves,"Taissa Farmiga,Jonas Bloquet,Storm Reid",19.99
Baked With a Kiss,4.0,6,Prime Video,2023.0,G,Brittany Underwood,"Jonathan Stoddard,Ansley Gordon,Milly Figuereo",4.830464886251237
The Jungle Bunch,4.0,96,Prime Video,2017.0,R,David Alaux,"Keith Silverstein,Kirk Thornton,Erin Fitzgerald",4.830464886251237
80 for Brady,4.3,7856,Prime Video,2023.0,PG-13,Kyle Marvin,"Lily Tomlin,Jane Fonda,Rita Moreno,Sally Field",5.99
Scream VI,4.4,3058,Prime Video,2023.0,R,"Matt Bettinelli-Olpin,Tyler Gillett","Melissa Barrera,Jasmin Savoy Brown,Jack Champion",5.99
Scooby-Doo!: The Movie,4.7,16498,Prime Video,2002.0,PG,Raja Gosnell,"Freddie Prinze, Jr.,Sarah Michelle Gellar",3.79
Dog,4.6,66280,Prime Video,2022.0,PG-13,"Channing Tatum,Reid Carolin","Channing Tatum,Jane Adams,Kevin Nash",5.99
Shazam!,4.5,39847,Prime Video,2019.0,PG-13,David Sandberg,"Zachary Levi,Asher Angel,Mark Strong",3.79
Pavement,4.0,40,Prime Video,2002.0,R,Darrell James Roodt,"Robert Patrick,Lauren Holly",4.830464886251237
The Equalizer,4.8,61762,Prime Video,2014.0,R,Antoine Fuqua,"Denzel Washington,Marton Csokas,Chloë Grace Moretz",3.59
Driving Miss Daisy,4.8,7755,Prime Video,1990.0,PG,Bruce Beresford,"Morgan Freeman,Jessica Tandy,Dan Aykroyd,Patti LuPone",2.89
M3GAN (Unrated),4.2,18613,Prime Video,2023.0,PG-13,Gerard Johnstone,"Allison Williams,Ronny Chieng,Violet McGraw",3.99
Saw II,4.5,3163,Prime Video,2005.0,R,Darren Lynn Bousman,"Donnie Wahlberg,Tobin Bell,Shawnee Smith,Franky G.",3.99
PAW Patrol: Mighty Pups,4.7,3636,Prime Video,2018.0,R,Jamie Whitney,"Devan Cohen,Owen Mason,Kallan Holley,Gage Munroe",4.99
Grace of Monaco,4.2,611,Prime Video,2014.0,R,Olivier Dahan,"Nicole Kidman,Tim Roth,Frank Langella,Paz Vega",4.830464886251237
Act of Valor,4.7,9054,Prime Video,2012.0,R,"Mike McCoy,Scott Waugh","Roselyn Sanchez,Nestor Serrano,Rorke Denver",4.830464886251237
Observe and Report,4.5,1285,Prime Video,2009.0,R,Jody Hill,"Seth Rogen,Anna Faris,Michael Peña,Celia Weston",2.99
Indiana Jones and the Dial of Destiny (Bonus Content and X-Ray Features),4.6,6305,Prime Video,2023.0,PG-13,James Mangold,"Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen",19.99
Tom & Jerry,4.5,12869,Prime Video,2021.0,PG,Tim Story,"Chloë Moretz,Michael Peña,Colin Jost,Rob Delaney",3.79
"Love & Murder: Atlanta Playboy, Pt. 2",4.5,2,Prime Video,2023.0,R,Jaira Thomas,"Taye Diggs,Keesha Sharp,Rob Brown,Ciera Payton",4.830464886251237
The Hot Chick,4.7,8715,Prime Video,2002.0,PG-13,Tom Brady,"Rob Schneider,Anna Faris,Matthew Lawrence",4.830464886251237
Greater,4.8,3969,Prime Video,2016.0,PG,David Hunt,"Neal McDonough,Chris Severio,Leslie Easterbrook",4.830464886251237
Extraction,4.2,2092,Prime Video,2015.0,R,Steven Miller,"Kellan Lutz,Bruce Willis,Gina Carano,D.B. Sweeney",3.79
Saw III,4.5,2562,Prime Video,2006.0,R,Darren Lynn Bousman,"Tobin Bell,Shawnee Smith,Bahar Soomekh",3.99
Fools Rush In,4.8,5717,Prime Video,1997.0,PG-13,Andy Tennant,"Matthew Perry,Salma Hayek,Jon Tenney,Jill Clayburgh",3.59
Legally Blonde,4.8,17794,Prime Video,2001.0,PG-13,Robert Luketic,"Reese Witherspoon,Luke Wilson,Selma Blair",4.830464886251237
Blitz,4.4,1431,Prime Video,2011.0,R,Elliott Lester,"Jason Statham,Paddy Considine,Aidan Gillen",4.830464886251237
Saw III,4.5,2562,Prime Video,2006.0,R,Darren Lynn Bousman,"Tobin Bell,Shawnee Smith,Bahar Soomekh",3.99
Twilight Saga: Breaking Dawn Part 1,4.7,23519,Prime Video,2011.0,PG-13,Bill Condon,"Kristen Stewart,Robert Pattinson,Taylor Lautner",3.79
Blitz,4.4,1431,Prime Video,2011.0,R,Elliott Lester,"Jason Statham,Paddy Considine,Aidan Gillen",4.830464886251237
Fools Rush In,4.8,5717,Prime Video,1997.0,PG-13,Andy Tennant,"Matthew Perry,Salma Hayek,Jon Tenney,Jill Clayburgh",3.59
Puss in Boots,4.8,4079,Prime Video,2011.0,PG,Chris Miller,"Antonio Banderas,Salma Hayek,Zach Galifianakis",4.830464886251237
Amy's F It List,4.2,74,Prime Video,2023.0,R,Mark S. Allen,"Alyson Gorske,Angel Prater,Mark DeCarlo",3.99
One for the Money,4.5,5094,Prime Video,2012.0,PG-13,Julie Anne Robinson,"Katherine Heigl,Jason O'Mara,Daniel Sunjata",4.830464886251237
10 YEARS,4.3,1417,Prime Video,2012.0,PG-13,Jamie Linden,"Channing Tatum,Chris Pratt,Jenna Dewan-Tatum",3.99
Violent Night,4.4,7120,Prime Video,2022.0,R,Tommy Wirkola,"David Harbour,John Leguizamo,Alex Hassell",4.19
Blood and Money,4.0,3800,Prime Video,2020.0,R,John Barr,"Tom Berenger,Kristen Hager,Paul Ben-Victor",4.830464886251237
Sisu,4.5,8132,Prime Video,2023.0,R,Jalmari Helander,"Onni Tommila,Jorma Tommila,Aksel Hennie,Jack Doolan",5.99
The Peanut Butter Falcon,4.7,34754,Prime Video,2019.0,PG-13,"Michael Schwartz, Tyler Nilson","Zack Gottsagen,Ann  Owens",3.99
Beast,4.1,9766,Prime Video,2022.0,R,Baltasar Kormakur,"Liyabuya Gongo,Martin Munro,Daniel Hadebe",3.99
Bewitched,4.5,1967,Prime Video,2005.0,R,Nora Ephron,"Nicole Kidman,Will Ferrell,Shirley MacLaine",3.99
The Night Clerk,4.0,1309,Prime Video,2020.0,R,Michael Cristofer,"Tye Sheridan,Ana de Armas,John Leguizamo,Helen Hunt",4.830464886251237
Wild Target,4.4,1465,Prime Video,2010.0,PG-13,Jonathan Lynn,"Bill Nighy,Emily Blunt,Rupert Grint,Rupert Everett",3.99
Teenage Mutant Ninja Turtles,4.5,18919,Prime Video,2014.0,PG-13,Jonathan Liebesman,"Megan Fox,Will Arnett,William Fichtner",4.830464886251237
The Secret: Dare to Dream,4.6,35984,Prime Video,2020.0,PG,Andy Tennant,"Katie Holmes,Josh Lucas,Jerry O'Connell,Celia Weston",3.99
"Legally Blonde 2: Red, White & Blonde",4.6,7352,Prime Video,2003.0,PG-13,Charles Herman-Wurmfeld,"Reese Witherspoon,Sally Field,Regina King",4.830464886251237
Leap!,4.8,10118,Prime Video,2017.0,PG,"Eric Summer,Eric Warin","Elle Fanning,Nat Wolff,Maddie Ziegler,Mel Brooks",4.830464886251237
The Darkest Minds,4.5,6665,Prime Video,2018.0,PG-13,Jennifer Yuh Nelson,"Amandla Stenberg,Mandy Moore,Gwendoline Christie",4.830464886251237
Green Lantern,4.4,8380,Prime Video,2011.0,PG-13,Martin Campbell,"Ryan Reynolds,Blake Lively,Peter Sarsgaard",2.89
The Pig Farm,4.0,5,Prime Video,2011.0,R,Christine Nielsen,"Maggie Huculak,Robert Pickton",4.830464886251237
Mars Attacks!,4.6,11508,Prime Video,1996.0,PG-13,Tim Burton,"Jack Nicholson,Glenn Close,Annette Bening",3.79
The Watch,4.3,7037,Prime Video,2012.0,R,Akiva Schaffer,"Ben Stiller,Vince Vaughn,Jonah Hill,Richard Ayoade",4.830464886251237
Blow,4.7,6760,Prime Video,2001.0,R,Ted Demme,"Johnny Depp,Penélope Cruz,Franka Potente",4.830464886251237
The Birdcage,4.8,15514,Prime Video,1996.0,R,Mike Nichols,"Robin Williams,Gene Hackman,Nathan Lane",4.830464886251237
Deadly Entanglement,4.7,4,Prime Video,2023.0,R,Bobby Yan,"Monica Calhoun,Jessica A. Caesar,Vanessa Simmons",4.830464886251237
Solace,4.3,4154,Prime Video,2016.0,R,Afonso Poyart,"Anthony Hopkins,Jeffrey Dean Morgan,Abbie Cornish",3.79
Hercules (2014),4.3,18251,Prime Video,2014.0,PG-13,Brett Ratner,"John Hurt,Dwayne Johnson",4.830464886251237
2 Guns,4.6,10764,Prime Video,2013.0,R,Baltasar Kormakur,"Denzel Washington,Mark Wahlberg,Paula Patton",2.99
Clifford the Big Red Dog,4.7,4382,Prime Video,2021.0,PG,Walt Becker,"Jack Whitehall,Darby Camp,Tony Hale,Sienna Guillory",3.89
Army of Darkness,4.8,11428,Prime Video,1993.0,R,Sam Raimi,"Bruce Campbell,Embeth Davidtz,Marcus Gilbert",3.99
Riddick,4.7,13990,Prime Video,2013.0,R,David Twohy,"Vin Diesel,Jordi Molla,Matt Nable,Katee Sackhoff",3.59
For Love Of The Game,4.8,6369,Prime Video,1999.0,PG-13,Sam Raimi,"Kevin Costner,Kelly Preston,Jena Malone",3.79
To Freedom,5.0,3,Prime Video,2023.0,R,Biodun Stephen,"Daniel Etim Effiong,Osas Ighodaro,Eso Dike",4.830464886251237
Abbott and Costello Meet Frankenstein,4.8,3757,Prime Video,1948.0,R,Charles Barton,"Lou Costello,Charles Bradstreet,Bela Lugosi",3.79
The Pig Farm,4.0,5,Prime Video,2011.0,R,Christine Nielsen,"Maggie Huculak,Robert Pickton",4.830464886251237
No One Lives,4.2,1777,Prime Video,2013.0,R,Ryûhei Kitamura,"Adelaide Clemens,America Olivo,Beau Knapp,Brodus Clay",4.830464886251237
Horsemen (2009),4.0,684,Prime Video,2009.0,R,Jonas Akerlund,"Dennis Quaid,Ziyi Zhang,Lou Taylor Pucci",4.830464886251237
The Lincoln Lawyer,4.7,10051,Prime Video,2011.0,R,Brad Furman,"Matthew McConaughey,Marisa Tomei,Ryan Phillippe",3.79
The Little Things,4.3,15117,Prime Video,2021.0,R,John Lee Hancock,"Denzel Washington,Rami Malek,Jared Leto,Chris Bauer",2.99
Batman v Superman: Dawn of Justice,4.5,26055,Prime Video,2016.0,PG-13,Zack Snyder,"Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg",3.99
