title,Movie_Rating,No_of_Ratings,Format,ReleaseYear,MPAA_Rating,Directed_By,Starring,Price
Yellow Brick Road and Beyond,4.3,24,Prime Video,2009.0,R,Troy Szebin,"Steve Stoliar,Joan Leslie,Beverly D'Angelo",4.830464886251237
The Running Man,4.7,5595,Prime Video,1987.0,R,---,"Arnold Schwarzenegger,Maria Conchita Alonso",4.19
A Walk in the Woods,4.3,17967,Prime Video,2015.0,R,Ken Kwapis,"Robert Redford,Nick Nolte",4.830464886251237
Blazing Saddles,4.7,22041,Prime Video,1974.0,R,Mel Brooks,"Cleavon Little,Gene Wilder,Slim Pickens",3.99
The Ruins,4.3,1638,Prime Video,2008.0,R,Carter Smith,"Jonathan Tucker,Jena Malone,Shawn Ashmore",3.79
The 'Burbs,4.8,6396,Prime Video,1989.0,R,Joe Dante,"Tom Hanks,Bruce Dern,Carrie Fisher,Rick Ducommun",4.830464886251237
Drowning Mona,4.5,958,Prime Video,2000.0,PG-13,Nick Gomez,"Danny DeVito,Bette Midler,Neve Campbell",4.830464886251237
The Prophecy,4.4,851,Prime Video,1995.0,PG-13,Roger Michell,"Christopher Walken,Elias Koteas,Virginia Madsen",3.99
Past Lives,4.3,129,Prime Video,2023.0,R,Celine Song,"Greta Lee,Teo Yoo,John Magaro,Jojo T. Gibbs",4.99
Tim Burton's Corpse Bride,4.8,21660,Prime Video,2005.0,PG,"Mike Johnson,Tim Burton","Johnny Depp,Helena Bonham Carter,Emily Watson",3.79
Transformers: Age of Extinction,4.6,33799,Prime Video,2014.0,PG-13,Michael Bay,"Mark Wahlberg,Stanley Tucci,John Goodman",3.79
Ralphie May: Prime Cut,4.4,295,Prime Video,2022.0,R,Alan C. Blomquist,Ralphie May,4.830464886251237
Tyler Perry's Madea on the Run,4.6,5910,Prime Video,2017.0,R,Tyler Perry,"Cassi Davis,Rhonda Davis,Tony Hightower",3.59
School of Rock,4.8,13967,Prime Video,2003.0,PG-13,Richard Linklater,"Jack Black,Joan Cusack,Mike White,Adam Pascal",3.99
Cocktail,4.7,8365,Prime Video,1988.0,R,Roger Donaldson,"Tom Cruise,Bryan Brown,Elisabeth Shue",3.99
Practical Magic (1998),4.8,35486,Prime Video,1998.0,PG-13,Griffin Dunne,"Sandra Bullock,Nicole Kidman,Dianne Wiest",3.79
Hidden Saudi Arabia,4.2,22,Prime Video,2023.0,R,Grady Candler,Peter Greenberg,1.99
Outlander,4.4,5648,Prime Video,2009.0,R,Howard McCain,"Jim Caviezel,Sophia Myles,John Hurt,Ron Perlman",4.830464886251237
Stolen,4.2,519,Prime Video,2012.0,R,Simon West,"Nicolas Cage,Josh Lucas,Danny Huston,Malin Akerman",4.830464886251237
Christmas in Mississippi,4.5,494,Prime Video,2017.0,R,Emily Moss Wilson,"Jana Kramer,Wes Brown,Faith Ford",1.99
Pride and Prejudice,4.9,41189,Prime Video,2005.0,PG,Joe Wright,"Keira Knightley,Matthew Macfadyen,Brenda Blethyn",3.79
Insidious: The Last Key,4.6,21016,Prime Video,2018.0,R,Adam Robitel,"Lin Shaye,Leigh Whannell,Angus Sampson",4.830464886251237
The Wraith,4.7,3702,Prime Video,1986.0,PG-13,Mike Marvin,"Charlie Sheen,Nick Cassavetes,Randy Quaid",4.830464886251237
Barnyard,4.7,6773,Prime Video,2006.0,PG,Steve Oedekerk,"Kevin James,Courteney Cox,Sam Elliott,Danny Glover",4.29
Exists,4.2,1531,Prime Video,2014.0,R,Eduardo Sanchez,"Dora Madison Burge,Brian Steele,Denise Williamson",4.830464886251237
Doom,4.5,2647,Prime Video,1996.0,R,Andrzej Bartkowiak,"Karl Urban,Dhobi Oparei,Dwayne ""The Rock"" Johnson",3.99
Horns,4.4,2493,Prime Video,2014.0,R,Alexandre Aja,"Daniel Radcliffe,Juno Temple,Max Minghella",4.830464886251237
Girl in the Closet,4.5,2959,Prime Video,2023.0,R,,Swirl Films LLC,2.69
Quinceanera,4.6,442,Prime Video,2006.0,R,"Richard Glatzer,Wash Westmoreland","Emily Rios,Pascaline Crêvecoeur,Jesse Garcia",3.99
The Bad News Bears,4.7,2790,Prime Video,1976.0,PG,Michael Ritchie,"Walter Matthau,Tatum O'Neal,Vic Morrow",3.79
Spider-Man: Across The Spider-Verse - UHD/BD Combo + Digital,4.8,5934,4K,2023.0,R,"Joaquim Dos Santos,Kemp Powers","Shameik Moore,Hailee Steinfeld,Brian Tyree Henry",21.24
Date Night,4.6,180,Prime Video,2010.0,PG-13,Shawn Levy,"Steve Carell,Tina Fey,Taraji Henson,Common",4.830464886251237
The Final Countdown,4.7,7245,Prime Video,1980.0,PG,Don Taylor,"Kirk Douglas,Martin Sheen,Katharine Ross",1.99
Expecting Amish,4.2,221,Prime Video,2014.0,R,Richard Gabai,"AJ Michalka,Jesse McCartney,Alyson Stoner,Cayden Boyd",4.830464886251237
Die Another Day,4.6,3159,Prime Video,2002.0,PG-13,Lee Tamahori,"Pierce Brosnan,Toby Stephens (Gustav Graves)",3.99
Nefarious,4.5,7772,Prime Video,2023.0,R,"Chuck Konzelman,Cary Solomon","Sean Patrick Flanery,Jordan Belfi,Tom Ohmer",4.99
Limitless,4.7,12665,Prime Video,2011.0,PG-13,Neil Burger,"Bradley Cooper,Abbie Cornish,Robert De Niro",2.99
Terminator 2: Judgment Day,4.7,16168,Prime Video,1991.0,R,James Cameron,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",9.99
"Are You There God? It's Me, Margaret.",4.6,4709,Prime Video,2023.0,PG-13,Kelly Fremon Craig,"Abby Ryder Fortson,Rachel McAdams,Kathy Bates",5.99
Final Destination,4.6,7968,Prime Video,2000.0,R,James Wong,"Devon Sawa,Ali Larter,Kerr Smith,Tony Todd",2.89
Hellraiser,4.3,371,Prime Video,1987.0,R,Clive Barker,"Clare Higgins,Ashley Laurence,Andrew Robinson",2.99
Hide N Seek,5.0,1,Prime Video,2023.0,R,Tolu LordTanner,"Kunle Remi,Uche Montana,Bimbo Ademoye,Kiki Omeili",4.830464886251237
Child's Play,4.6,7555,Prime Video,1988.0,R,Tom Holland,"Catherine Hicks,Chris Sarandon",4.830464886251237
The King's Speech,4.8,8928,Prime Video,2010.0,R,Tom Hooper,"Colin Firth,Geoffrey Rush,Helena Bonham Carter",3.99
Journey to the Center of the Earth,4.1,126,Prime Video,2008.0,R,T.J. Scott,"Rick Schroder,Victoria Pratt,Peter Fonda",4.830464886251237
Alpha and Omega: Family Vacation,4.5,234,Prime Video,2015.0,R,Richard Rich,"Ben Diskin,Kate Higgins,Dee Dee Greene",4.830464886251237
Hellraiser,4.3,371,Prime Video,1987.0,R,Clive Barker,"Clare Higgins,Ashley Laurence,Andrew Robinson",2.99
The Getaway,4.5,417,Prime Video,2023.0,R,Roger Donaldson,"Alec Baldwin,Kim Basinger",4.830464886251237
The Maze Runner,4.7,31747,Prime Video,2014.0,PG-13,Wes Ball,"Dylan O'Brien,Kate Scodelario,Thomas Brodie-Sangster",3.79
From Russia with Love,4.7,2764,Prime Video,1964.0,PG,Terence Young,"Sean Connery,Daniela Bianchi,Robert Shaw,Lotte Lenya",3.89
Fifty Shades Of Grey,4.5,71931,Prime Video,2016.0,R,Sam Taylor-Johnson,"Dakota Johnson,Jamie Dornan,Jennifer Ehle",4.830464886251237
Love Sarah,4.2,1829,Prime Video,2021.0,R,Eliza Schroeder,"Celia Imrie,Shelley Conn,Shannon Tarbet",4.830464886251237
Star Trek Beyond,4.6,11096,Prime Video,2016.0,PG-13,Justin Lin,"Chris Pine,Zachary Quinto,Karl Urban,Zoe Saldana",2.89
Breaking,4.4,3699,Prime Video,2022.0,PG-13,Abi Damaris Corbin,"John Boyega,Nicole Beharie,Michael Kenneth Williams",1.99
Hall Pass (Enlarged Edition),4.5,3835,Prime Video,2011.0,R,"Peter Farrelly,Bobby Farrelly","Owen Wilson,Jason Sudeikis,Jenna Fischer",4.99
Creepshow 2,4.7,2675,Prime Video,1987.0,R,Michael Gornick,"Tom Savini,Domenick John",2.99
"O Brother, Where Art Thou?",4.8,27121,Prime Video,2001.0,R,Joel Coen,"George Clooney,John Turturro,Tim Blake Nelson",3.79
Madame Nobel,4.3,7,Prime Video,2014.0,R,Urs Egger,"Birgit Minichmayr,Sebastian Koch,Philipp Hochmair",4.830464886251237
Child's Play,4.6,7555,Prime Video,1988.0,R,Tom Holland,"Catherine Hicks,Chris Sarandon",4.830464886251237
The Good Heart,4.1,98,Prime Video,2004.0,R,"Dagur Kári,Dagur Kari","Brian Cox,Paul Dano,Isild Le Besco",4.830464886251237
"O Brother, Where Art Thou?",4.8,27121,Prime Video,2001.0,R,Joel Coen,"George Clooney,John Turturro,Tim Blake Nelson",3.79
Halloween 5,4.6,2852,Prime Video,1989.0,R,Dominique Othenin-Girard,"Donald Pleasence,Don Shanks,Danielle Harris",4.830464886251237
Stir of Echoes,4.7,3238,Prime Video,1999.0,R,David Koepp,"Zachery David Cope,Kevin Bacon,Kathryn Erbe",4.830464886251237
One for the Money,4.5,5094,Prime Video,2012.0,PG-13,Julie Anne Robinson,"Katherine Heigl,Jason O'Mara,Daniel Sunjata",4.830464886251237
Double Jeopardy,4.8,4806,Prime Video,1999.0,R,---,"Tommy Lee Jones,Ashley Judd,Bruce Greenwood",4.29
Carmen,4.1,246,Prime Video,2022.0,R,Valerie Buhagiar,"Natascha McElhone,Steven Love,Richard Clarkin",4.830464886251237
Invisible History: Middle Florida's Hidden Roots,4.3,44,Prime Video,2021.0,R,Valerie Scoon,Tyra Ferrell,4.830464886251237
Shallow Hal,4.6,6659,Prime Video,2001.0,PG-13,"Bobby Farrelly,Peter Farrelly","Gwyneth Paltrow,Jack Black,Jason Alexander,Susan Ward",3.79
The Getaway,4.5,417,Prime Video,2023.0,R,Roger Donaldson,"Alec Baldwin,Kim Basinger",4.830464886251237
Alpha and Omega: Family Vacation,4.5,234,Prime Video,2015.0,R,Richard Rich,"Ben Diskin,Kate Higgins,Dee Dee Greene",4.830464886251237
The Canterville Ghost,4.6,702,Prime Video,1996.0,PG,Syd Macartney,"Patrick Stewart,Neve Campbell",4.830464886251237
Christmas on the Range,4.5,921,Prime Video,2019.0,R,Gary Wheeler,"Erin Cahill,Nicholas Gonzalez,Lindsay Wagner",4.830464886251237
Batman: The Complete Animated Series [Blu-ray],4.9,8679,Blu-ray,2023.0,R,Various,Various,52.75
The 40 Year-Old Virgin,4.7,10065,Prime Video,2005.0,R,Judd Apatow,"Steve Carell,Catherine Keener,Paul Rudd,Romany Malco",3.99
Once Upon A Crime,4.5,560,Prime Video,1992.0,PG,Eugene Levy,"John Candy,James Belushi,Cybill Shepherd",4.830464886251237
Stand and Deliver,4.8,4431,Prime Video,1988.0,PG,Ramón Menéndez,"Edward James Olmos,Lou Diamond Phillips",2.99
Broken Embraces,4.5,394,Prime Video,2010.0,R,Pedro Almodóvar,"Penélope Cruz,Lluís Homar,Blanca Portillo",3.59
Journey to the Center of the Earth,4.1,126,Prime Video,2008.0,R,T.J. Scott,"Rick Schroder,Victoria Pratt,Peter Fonda",4.830464886251237
Betrayed,4.2,403,Prime Video,2021.0,R,Eirik Svensson,"Jakob Oftebro,Silje Storstein,Carl Martin Eggesbø",3.99
When Harry Met Sally,4.8,12962,Prime Video,1989.0,R,Rob Reiner,"Billy Crystal,Meg Ryan,Carrie Fisher,Bruno Kirby",4.29
The Baytown Outlaws,4.3,2391,Prime Video,2013.0,R,Barry Battles,"Billy Bob Thornton,Eva Longoria",3.99
Curious Caterer: Grilling Season,4.2,8,Prime Video,2023.0,R,Paul Ziller,"Nikki DeLoach,Jaycie Dotin,Andrew W. Walker",4.830464886251237
Arbitrage,4.3,2902,Prime Video,2012.0,R,Nicholas Jarecki,"Brit Marling,Laetitia Casta,Nate Parker,Richard Gere",4.830464886251237
Wedding Cottage,5.0,11,Prime Video,2023.0,R,Terry Ingram,"Aaron Douglas,Erin Krakow,Brendan Penny",4.830464886251237
Live and Let Die,4.6,2570,Prime Video,1973.0,PG,---,"Roger Moore,Yaphet Kotto,Jane Seymour,Clifton James",3.89
21 Grams,4.3,957,Prime Video,2004.0,R,Alejandro Gonzalez Inarritu,"Naomi Watts,Benicio Del Toro,Sean Penn,Clea DuVall",3.79
The Man in the Moon,4.8,2270,Prime Video,1991.0,PG-13,Robert Mulligan,"Sam Waterston,Tess Harper,Gail Strickland",4.830464886251237
Edge of Tomorrow,4.8,1712,Prime Video,2014.0,PG-13,Doug Liman,"Tom Cruise,Emily Blunt,Brendan Gleeson",3.79
Lucy Shimmers and the Prince of Peace,4.8,632,Prime Video,2020.0,PG,Rob Diamond,"Scarlett Diamond,Vincent Vargas,Adam Hightower",2.99
Madame Nobel,4.3,7,Prime Video,2014.0,R,Urs Egger,"Birgit Minichmayr,Sebastian Koch,Philipp Hochmair",4.830464886251237
"Jeff, Who Lives at Home",4.5,650,Prime Video,2011.0,R,"Jay Duplass,Mark Duplass","Jason Segel,Ed Helms,Susan Sarandon",3.79
The 5th Quarter,4.6,584,Prime Video,2011.0,R,Rick Bieber,"Andie MacDowell,Aidan Quinn",4.830464886251237
Death on the Nile,4.7,2558,Prime Video,1978.0,PG,John Guillermin,"Peter Ustinov,Bette David,Mia Farrow,Jane Birkin",4.830464886251237
Life Without Hope,4.0,27,Prime Video,2020.0,R,Leo Sullivan,"Andra Fuller,Michael Finn,Erica Page,Maurice Johnson",4.830464886251237
Annabelle Comes Home,4.5,23315,Prime Video,2019.0,R,Gary Dauberman,"Vera Farmiga,Patrick Wilson,Mckenna Grace",3.79
Transformers: Dark of the Moon,4.7,12563,Prime Video,2011.0,PG-13,---,"Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson",3.39
Brick Mansions,4.5,2337,Prime Video,2014.0,PG-13,Not Specified,"Paul Walker,Robert Maillet,Rza,David Belle",2.99
Silver Linings Playbook,4.6,10633,Prime Video,2012.0,R,David O. Russell,"Bradley Cooper,Jennifer Lawrence,Robert De Niro",3.99
Double Jeopardy,4.8,4806,Prime Video,1999.0,R,---,"Tommy Lee Jones,Ashley Judd,Bruce Greenwood",4.29
21 Grams,4.3,957,Prime Video,2004.0,R,Alejandro Gonzalez Inarritu,"Naomi Watts,Benicio Del Toro,Sean Penn,Clea DuVall",3.79
Halloween 5,4.6,2852,Prime Video,1989.0,R,Dominique Othenin-Girard,"Donald Pleasence,Don Shanks,Danielle Harris",4.830464886251237
Silent Fall,4.0,353,Prime Video,1994.0,R,Bruce Beresford,"Richard Dreyfuss,Linda Hamilton,John Lithgow",4.830464886251237
Resident Evil: Welcome to Raccoon City,4.0,13345,Prime Video,2021.0,R,Johannes Roberts,"Kaya Scodelario,Hannah John-Kamen,Robbie Amell",3.99
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,4.8,2418,Prime Video,1991.0,PG,Michael Pressman,"David Warner,Mark Caso,Paige Turco,Michelan Sisti",3.99
Gone,4.4,1970,Prime Video,2012.0,PG-13,Heitor Dhalia,"Amanda Seyfried,Jennifer Carpenter,Wes Bentley",4.830464886251237
The Hobbit: An Unexpected Journey,4.8,40368,Prime Video,2012.0,PG-13,Peter Jackson,"Ian Mckellen,Martin Freeman,Richard Armitage",4.830464886251237
Goldeneye,4.6,3746,Prime Video,1995.0,PG-13,Martin Campbell,"Pierce Brosnan,Sean Bean,Izabella Scorupco",3.89
Paper Soldiers,4.5,798,Prime Video,2002.0,R,"Damon Dash,David Daniel","Kevin Hart,Beanie Sigel,Damon Dash,Stacey Dash",3.79
Cloudy with a Chance of Meatballs,4.7,6720,Prime Video,2009.0,PG,"Phil Lord,Christopher Miller","Anna Faris,Bill Hader,Bruce Campbell,James Caan",4.830464886251237
Buffaloed,4.1,885,Prime Video,2019.0,R,Tanya Wexler,"Zoey Deutch,Judy Greer,Jai Courtney,Jermaine Fowler",2.99
Life Without Hope,4.0,27,Prime Video,2020.0,R,Leo Sullivan,"Andra Fuller,Michael Finn,Erica Page,Maurice Johnson",4.830464886251237
The Remaining,4.2,5385,Prime Video,2014.0,PG-13,Casey Lascala,"Johnny Pacar,Shaun Sipos,Bryan Dechart,Alexa Vega",3.99
Saving Private Ryan,4.8,32111,Prime Video,1998.0,R,Steven Spielberg,"Tom Hanks,Edward Burns,Matt Damon,Tom Sizemore",3.79
A Father's Legacy,4.6,303,Prime Video,2021.0,R,Jason Mac,"Tobin Bell,Jason Mac,Gregory Alan Williams,Kurt Yue",4.830464886251237
Inside a Cult: Messiah on Trial,4.1,60,Prime Video,2009.0,R,Ben Anthony,Michael Travesser,4.830464886251237
Death on the Nile,4.7,2558,Prime Video,1978.0,PG,John Guillermin,"Peter Ustinov,Bette David,Mia Farrow,Jane Birkin",4.830464886251237
Phantasm: Remastered,4.4,1451,Prime Video,1979.0,R,Don Coscarelli,"A. Michael Baldwin,Bill Thornbury,Reggie Bannister",4.830464886251237
Phantoms,4.4,1345,Prime Video,1998.0,R,Joe Chappelle,"Joanna Going,Peter O'Toole,Rose McGowan",2.49
Make Up,4.0,260,Prime Video,2021.0,R,Claire Oakley,"Molly Windsor,Stefanie Martini,Joseph Quinn",3.99
"Little Death, The",4.5,4,Prime Video,1996.0,R,,"Verheyen,Jan",4.830464886251237
Pinkfong and Baby Shark's Space Adventure,4.5,110,Prime Video,2016.0,R,,Pinkfong,1.99
The Hobbit: An Unexpected Journey,4.8,40368,Prime Video,2012.0,PG-13,Peter Jackson,"Ian Mckellen,Martin Freeman,Richard Armitage",4.830464886251237
Acts of Violence,4.2,2266,Prime Video,2018.0,R,Brett Donowho,"Bruce Willis,Cole Hauser,Shawn Ashmore,Ashton Holmes",3.99
Scary Movie 2,4.6,6503,Prime Video,2001.0,R,Keenen Ivory Wayans,"Shawn Wayans,Marlon Wayans,Anna Faris,Regina Hall",4.830464886251237
Annabelle Comes Home,4.5,23315,Prime Video,2019.0,R,Gary Dauberman,"Vera Farmiga,Patrick Wilson,Mckenna Grace",3.79
Prairie Fever,4.4,109,Prime Video,2008.0,R,Stephen Bridgewater,"Kevin Sorbo,Lance Henriksen,Felicia Day",4.830464886251237
Evil Dead,4.6,13369,Prime Video,2013.0,R,Fede Alvarez,"Jane Levy,Rupert Degas,Bob Dorian,Jessica Lucas",3.59
Edward Scissorhands,4.8,15706,Prime Video,1990.0,PG-13,Tim Burton,"Johnny Depp,Winona Ryder,Dianne Wiest",4.830464886251237
Brick Mansions,4.5,2337,Prime Video,2014.0,PG-13,Not Specified,"Paul Walker,Robert Maillet,Rza,David Belle",2.99
Hoopties,5.0,3,Prime Video,2023.0,R,Jeremy Berger,"Chris Abbot,Christine Mittura",4.830464886251237
Trust,4.4,425,Prime Video,2011.0,R,David Schwimmer,"Clive Owen,Viola Davis,Jason Clarke,Catherine Keener",4.830464886251237
Princess of the Row,4.6,232,Prime Video,2020.0,R,Van Maximilian Carlson,"Edi Gathegi,Tayler Buck,Ana Ortiz,Jacob Vargas",2.99
Fantastic Beasts: The Secrets of Dumbledore,4.4,20077,Prime Video,2022.0,PG-13,David Yates,"Jude Law,Eddie Redmayne,Mads Mikkelsen,Ezra Miller",3.79
Thiruchitrambalam,4.5,2,Prime Video,2022.0,R,Mithran Jawahar,"Dhanush,Nithya Menen,Raashi Khanna",4.830464886251237
Harry Potter: 8-Film Collection [4K Ultra HD + Blu-ray] [4K UHD],4.8,86512,4K,2023.0,R,"Chris Columbus,Alfonso Cuarón,Mike Newell,David Yates","Daniel Radcliffe,Rupert Grint,Emma Watson",95.99
The Last Airbender,4.3,10,Prime Video,2010.0,PG,,Not Specified,4.830464886251237
Always At The Carlyle,4.5,711,Prime Video,2018.0,PG-13,Matthew Miele,"George Clooney,Anthony Bourdain,Jeff Goldblum",4.830464886251237
Saturday Night Fever,4.6,8870,Prime Video,1977.0,R,John Badham,"John Travolta,Karen Lynn Gorney,Barry Miller",3.79
Shrapnel,4.0,270,Prime Video,2023.0,R,William Kaufman,"Jason Patric,Cam Gigandet,Kesia Elwin",3.99
Swordfish,4.6,1562,Prime Video,2001.0,R,Dominic Sena,"John Travolta,Hugh Jackman,Halle Berry,Don Cheadle",3.99
Do You Like Broccoli Ice Cream? & More Kids Songs - Super Simple Songs,4.3,187,Prime Video,2017.0,R,,Super Simple Songs,0.99
Moonraker,4.6,2555,Prime Video,1979.0,PG,Lewis Gilbert,"Roger Moore,Lois Chiles,Michael Lonsdale,Richard Kiel",3.99
The Man with the Golden Gun,4.6,1989,Prime Video,1974.0,PG,Guy Hamilton,"Roger Moore,Christopher Lee,Britt Ekland",3.99
Support Your Local Gunfighter,4.7,1723,Prime Video,1971.0,G,Burt Kennedy,"James Garner,Jack Elam,Suzanne Pleshette,Harry Morgan",4.830464886251237
The Conjuring 2,4.6,19557,Prime Video,2016.0,R,James Wan,"Patrick Wilson,Vera Farmiga",2.89
Nanny McPhee Returns,4.7,3965,Prime Video,2010.0,PG,Susanna White,"Emma Thompson,Maggie Gyllenhaal,Rhys Ifans",3.99
A Monster In Paris,4.7,2254,Prime Video,2012.0,R,Bilbo Bergeron,"Matthieu Chedid,Vanessa Paradis,Gad Elmaleh",4.830464886251237
Wild Prairie Rose,4.4,157,Prime Video,2016.0,R,Deborah LaVine,"Tara Samuel,Troy Kotsur,Suanne Spoke",4.830464886251237
The Notebook,4.8,34346,Prime Video,2004.0,PG-13,Nick Cassavetes,"Ryan Gosling,Rachel McAdams,James Garner",3.99
Spoiler Alert,4.6,688,Prime Video,2022.0,PG-13,Michael Showalter,"Jim Parsons,Ben Aldridge,Sally Field,Bill Irwin",3.99
The Woman Who Wasn't There,4.1,360,Prime Video,2012.0,R,Angelo J. Guglielmo Jr.,Tania Head,2.99
The Queen's Corgi,4.0,3180,Prime Video,2020.0,PG,"Vincent Kesteloot,Ben Stassen","Leo Barakat,Jo Wyatt,Dino Andrade",0.99
Messenger of Death,4.1,169,Prime Video,1988.0,R,J. Lee Thompson,"Charles Bronson,Trish Van Devere,Lawrence Luckinbill",4.830464886251237
The Substitute,4.6,1079,Prime Video,1996.0,R,Robert Mandel,"Tom Berenger,Raymond Cruz,William Forsythe",4.830464886251237
Book Club,4.5,8433,Prime Video,2018.0,PG-13,Bill Holderman,"Diane Keaton,Jane Fonda,Candice Bergen",3.09
Failure to Launch,4.6,2793,Prime Video,2006.0,R,Tom Dey,"Matthew McConaughey,Sarah Jessica Parker",2.89
Scream,4.4,32182,Prime Video,1996.0,R,Wes Craven,"Neve Campbell,David Arquette,Courteney Cox Arquette",3.79
Kingdom of Heaven,4.6,8829,Prime Video,2005.0,R,Ridley Scott,"Orlando Bloom,Eva Green,Liam Neeson,Jeremy Irons",3.79
The Courier,4.5,12201,Prime Video,2021.0,PG-13,Dominic Cooke,"Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan",3.79
War of The Worlds (2005),4.6,15618,Prime Video,2005.0,PG-13,Steven Spielberg,"Tom Cruise,Dakota Fanning,Miranda Otto,Tim Robbins",3.99
Bats,4.3,675,Prime Video,1999.0,PG-13,Louis Morneau,"Lou Diamond Phillips,Dina Meyer,Bob Gunton,Leon",4.830464886251237
The Forger,4.4,659,Prime Video,2015.0,R,Philip Martin,"John Travolta,Christpher Plummer,Tye Sheridan",3.99
Tomorrow Never Dies,4.6,2721,Prime Video,1997.0,PG-13,Roger Spottiswoode,"Pierce Brosnan,Michelle Yeoh,Teri Hatcher",4.830464886251237
Farewell My Love,4.5,6,Prime Video,2000.0,R,Randall Fontana,"Gabrielle Fitzpatrick,Phillip Rhys Chaudhary",4.830464886251237
Lavell Crawford: The Comedy Vaccine (Extended Edition),4.3,1785,Prime Video,2021.0,R,Brian Volk-Weiss,Lavell Crawford,0.99
The Reef,4.5,758,Prime Video,2007.0,G,"Howard E. Baker,John Fox","Freddie Prinze Jr.,Rob Schneider,Evan Rachel Wood",4.830464886251237
Sinister,4.4,16662,Prime Video,2012.0,R,Scott Derrickson,"Ethan Hawke,Juliet Rylance,James Ransone,Clare Foley",3.79
Nanny McPhee,4.8,6134,Prime Video,2006.0,R,Kirk Jones,"Emma Thompson,Colin Firth,Angela Lansbury",3.99
Resident Evil: The Final Chapter,4.6,19280,Prime Video,2017.0,R,Paul W.S. Anderson,"Milla Jovovich,Iain Glen,Ali Larter,Shawn Roberts",3.89
Autumn in New York,4.5,1534,Prime Video,2000.0,PG-13,Joan Chen,"Richard Gere,Winona Ryder,Anthony LaPaglia",4.830464886251237
The Electrical Life Of Louis Wain,4.4,1243,Prime Video,2021.0,PG-13,Will Sharpe,"Benedict Cumberbatch,Claire Foy,Andrea Riseborough",4.830464886251237
Beyond the Law,4.2,1373,Prime Video,2019.0,R,James Cullen Bressack,"DMX,Steven Seagal,Johnny Messner,Bill Cobbs",4.830464886251237
Chick Fight,4.0,6825,Prime Video,2020.0,R,Paul Leyden,"Malin Akerman,Alec Baldwin,Bella Thorne",1.99
Batman & Robin,4.5,4664,Prime Video,1997.0,PG-13,Joel Schumacher,"Arnold Schwarzenegger,George Clooney,Chris O'Donnell",3.79
Navy Seals,4.6,520,Prime Video,1990.0,R,,Lewis Teague,4.830464886251237
Spinning Man,4.0,1053,Prime Video,2018.0,R,Simon Kaijser,"Pierce Brosnan,Guy Pearce,Minnie Driver,Jamie Kennedy",4.830464886251237
Annabelle: Creation,4.5,15956,Prime Video,2017.0,R,David Sandberg,"Stephanie Sigman,Talitha Bateman,Lulu Wilson",4.830464886251237
Book Club: The Next Chapter,4.4,2758,Prime Video,2023.0,PG-13,Bill Holderman,"Diane Keaton,Jane Fonda,Candice Bergen,Andy Garcia",5.99
The Jewel of the Nile,4.6,2391,Prime Video,1985.0,PG,Lewis Teague,"Michael Douglas,Kathleen Turner",4.830464886251237
The Knight of Shadows,4.1,510,Prime Video,2020.0,R,Vash,"Jackie Chan,Elane Zhong,Ethan Juan",4.830464886251237
Madagascar: Escape 2 Africa,4.7,3958,Prime Video,2008.0,PG,"Eric Darnell,Tom McGrath","Ben Stiller,Chris Rock,David Schwimmer",3.99
Season of the Witch,4.4,2901,Prime Video,2011.0,PG-13,Dominic Sena,"Nicolas Cage,Ron Perlman,Claire Foy",4.830464886251237
Trick 'r Treat,4.6,22323,Prime Video,2008.0,R,Michael Dougherty,"Anna Paquin,Brian Cox,Dylan Baker,Rochelle Aytes",4.830464886251237
Shutter Island,4.6,14415,Prime Video,2010.0,R,Martin Scorsese,"Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley",3.59
The Ring,4.5,5011,Prime Video,2002.0,PG-13,Gore Verbinski,"Naomi Watts,Martin Henderson,Brian Cox,David Dorfman",3.79
The Woman in Black,4.4,8485,Prime Video,2012.0,PG-13,James Watkins,"Daniel Radcliffe,Janet McTeer,Molly Harmon",4.830464886251237
The Cat in the Hat Knows a Lot About Halloween!,4.6,303,Prime Video,2016.0,G,Tony Collingwood,"Alexa Torrington,Jacob Ewaniuk,Martin Short",2.99
Summer of 84,4.3,4428,Prime Video,2018.0,R,"Francois Simard,Anouk Whissell,Yoann-Karl Whissell","Graham Verchere,Judah Lewis,Caleb Emery",1.99
Retreat To Paradise,4.2,67,Prime Video,2020.0,R,Brian Brough,"Melanie Stone,Casey Elliott,Brian Krause,Jaclyn Hales",4.830464886251237
The Lord of The Rings: The Fellowship of the Ring (Extended Edition),4.8,46056,Prime Video,2001.0,PG-13,Peter Jackson,"Elijah Wood,Ian McKellen,Liv Tyler,Viggo Mortensen",14.99
The Book of Life,4.8,16734,Prime Video,2014.0,PG,Jorge Gutierrez,"Christina Applegate,Ice Cube,Kate del Castillo",4.830464886251237
The Matrix: Resurrections,4.0,4298,Prime Video,2021.0,R,Lana Wachowski,"Keanu Reeves,Carrie-Anne Moss,Yahya Abdul-Mateen II",3.79
Black Mass,4.5,9430,Prime Video,2015.0,R,Scott Cooper,"Johnny Depp,Benedict Cumberbatch,Dakota Johnson",4.830464886251237
